ID,Name,Typ,Land,Am,MW
bvb,Borussia Dortmund,2,GER,0,NA
fcb,FC Bayern Muenchen,2,GER,0,NA
fcbj,FC Bayern Jugend,2,GER,0,NA
scfj,SC Freiburg Jugend,2,GER,0,NA
rblj,Red Bull Leipzig Jugend,2,GER,0,NA
sgej,Eintracht Frankfurt Jugend,2,GER,0,NA
fcuj,Union Berlin Jugend,2,GER,0,NA
bvbj,Borussia Dortmund Jugend,2,GER,0,NA
wobj,VfL Wofsburg Jugend,2,GER,0,NA
bmgj,Moenchengladbach Jugend,2,GER,0,NA
svwj,SV Werder Bremen Jugend,2,GER,0,NA
fsvj,FSV Mainz 05 Jugend,2,GER,0,NA
tsgj,TSG 1899 Hoffenheim Jugend,2,GER,0,NA
levj,Bayer 04 Leverkusen Jugend,2,GER,0,NA
koej,1. FC Koeln Jugend,2,GER,0,NA
fcaj,FC Augsburg Jugend,2,GER,0,NA
bscj,Hertha BSC Berlin Jugend,2,GER,0,NA
vfbj,VfB Stuttgart Jugend,2,GER,0,NA
bocj,VfL Bochum Jugend,2,GER,0,NA
gelj,FC Schalke 04 Jugend,2,GER,0,NA
han,Hannover 96,2,GER,0,NA
shb,Shonan Bellmare,2,JAP,0,NA
hsv,Hamburger SV,2,GER,0,NA
smy,Apollon Smyrnis,2,GRE,0,NA
psg,Paris St Germain,2,FRA,0,NA
asm,AS Monaco,2,FRA,0,NA
stl,Stade Laval,2,FRA,0,NA
spo,Sporting Lissabon,2,POR,0,NA
pfc,Paris FC,2,FRA,0,NA
stk,SV Stuttgarter Kickers,2,GER,1,NA
iwa,Jubilo Iwata,2,JAP,0,NA
rwo,Rot Weiß Oberhausen,2,GER,1,NA
zag,Dinamo Zagreb,2,CRO,0,NA
cco,Central Coast,2,AUS,0,NA
kop,FC Kopenhagen,2,DEN,0,NA
fen,Fenerbahce Istanbul,2,TUR,0,NA
prt,FC Porto,2,POR,0,NA
vafc,Valenciennes FC,2,FRA,0,NA
aja,Ajax Amsterdam,2,NED,0,NA
lil,LOSC Lille,2,FRA,0,NA
ars,Arsenal London,2,ENG,0,NA
foot,Generation Foot,2,SEN,0,NA
